PeakID (cmd=annotatePeaks.pl ../output/bam_coverage_my_aln_sorted.filtered.bam.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
249	chr17	9956866	9957076	+	0	NA	intron (NM_201433, intron 1 of 13)	intron (NM_201433, intron 1 of 13)	-16997	NM_201432	8522		NM_003644	ENSG00000007237	GAS7	-	growth arrest specific 7	protein-coding
36	chr1	231285377	231285567	+	0	NA	Intergenic	MLT1E1|LTR|ERVL-MaLR	-13202	NM_001300889	440730		NM_001004342	ENSG00000119283	TRIM67	TNL	tripartite motif containing 67	protein-coding
77	chr4	115838015	115838125	+	0	NA	intron (NM_022569, intron 6 of 13)	intron (NM_022569, intron 6 of 13)	196706	NM_022569	64579		NM_022569	ENSG00000138653	NDST4	N-HSST|N-HSST 4|NDST-4|NHSST4	N-deacetylase and N-sulfotransferase 4	protein-coding
90	chr5	167500039	167500101	+	0	NA	intron (NM_001368146, intron 6 of 27)	intron (NM_001368146, intron 6 of 27)	-92780	NR_162139	113219458		NR_162139		MIR12125	-	microRNA 12125	ncRNA
109	chr6	170478342	170478468	+	0	NA	TTS (NR_125878)	TTS (NR_125878)	2539	NR_125878	102724511		NR_125878	ENSG00000232197	LOC102724511	-	uncharacterized LOC102724511	ncRNA
297	chr11_gl582973_fix	235544	235570	+	0	NA	NA	Intergenic	NA	NA								
208	chr11	130066751	130066897	+	0	NA	intron (NM_021978, intron 11 of 18)	intron (NM_021978, intron 11 of 18)	37147	NM_021978	6768		NM_021978	ENSG00000149418	ST14	ARCI11|CAP3|HAI|MT-SP1|MTSP1|PRSS14|SNC19|TADG15|TMPRSS14	ST14 transmembrane serine protease matriptase	protein-coding
137	chrX	119740828	119740847	+	0	NA	intron (NM_014060, intron 3 of 5)	intron (NM_014060, intron 3 of 5)	2283	NM_001137554	28985		NM_014060	ENSG00000232119	MCTS1	IMD118|MCT-1|MCT1	MCTS1 re-initiation and release factor	protein-coding
5	chr1	15064326	15064412	+	0	NA	intron (NM_015209, intron 1 of 7)	MLT1E1A|LTR|ERVL-MaLR	139156	NM_015209	23254		NM_015209	ENSG00000189337	KAZN	C1orf196|KAZ	kazrin, periplakin interacting protein	protein-coding
220	chr12	109904009	109904146	+	0	NA	intron (NR_133898, intron 1 of 5)	intron (NR_133898, intron 1 of 5)	11028	NR_133898	83892		NM_031954	ENSG00000110906	KCTD10	BTBD28|MSTP028|ULRO61|hBACURD3	potassium channel tetramerization domain containing 10	protein-coding
278	chr19	55173719	55173844	+	0	NA	promoter-TSS (NM_001278426)	promoter-TSS (NM_001278426)	-490	NM_001278430	11006		NM_006847	ENSG00000186818	LILRB4	B4|CD85K|ILT-3|ILT3|LIR-5|LIR5	leukocyte immunoglobulin like receptor B4	protein-coding
148	chr8	143620845	143620922	+	0	NA	intron (NM_001702, intron 27 of 30)	intron (NM_001702, intron 27 of 30)	74957	NM_015193	23237		NM_015193	ENSG00000198576	ARC	Arg3.1|hArc	activity regulated cytoskeleton associated protein	protein-coding
4	chr1	14847455	14847485	+	0	NA	Intergenic	Intergenic	-77711	NM_001370230	23254		NM_015209	ENSG00000189337	KAZN	C1orf196|KAZ	kazrin, periplakin interacting protein	protein-coding
210	chr12	30919859	30919940	+	0	NA	intron (NR_135046, intron 1 of 1)	MLT1F2|LTR|ERVL-MaLR	11891	NR_135046	645485		NR_135046	ENSG00000246331	LOC645485	-	uncharacterized LOC645485	ncRNA
187	chr10	134788158	134788299	+	0	NA	non-coding (NR_046231, exon 2 of 3)	non-coding (NR_046231, exon 2 of 3)	9190	NR_046231	399829		NR_046231	ENSG00000240707	LINC01168	-	long intergenic non-protein coding RNA 1168	ncRNA
260	chr20	578391	578410	+	0	NA	Intergenic	Intergenic	12510	NM_004609	6939		NM_004609	ENSG00000125878	TCF15	EC2|PARAXIS|bHLHa40	transcription factor 15	protein-coding
32	chr1	205736043	205736244	+	0	NA	TTS (NM_001135664)	TTS (NM_001135664)	8467	NM_001135663	8934		NM_003929	ENSG00000117280	RAB29	RAB7L|RAB7L1	RAB29, member RAS oncogene family	protein-coding
150	chr8	145165754	145165798	+	0	NA	exon (NM_001316309, exon 9 of 24)	exon (NM_001316309, exon 9 of 24)	3134	NM_001316309	340390		NM_032529	ENSG00000179698	WDR97	KIAA1875	WD repeat domain 97	protein-coding
2	chr1	6407854	6407995	+	0	NA	intron (NM_007274, intron 2 of 8)	MIRc|SINE|MIR	11065	NM_181866	11332		NM_007274	ENSG00000097021	ACOT7	ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH	acyl-CoA thioesterase 7	protein-coding
6	chr1	17307532	17307569	+	0	NA	promoter-TSS (NM_001135248)	promoter-TSS (NM_001135248)	-377	NM_001135248	4237		NM_002403	ENSG00000117122	MFAP2	MAGP|MAGP-1|MAGP1	microfibril associated protein 2	protein-coding
128	chrX	4148923	4148942	+	0	NA	Intergenic	Intergenic	-310149	NR_146579	729162		NR_146578		FAM239B	-	zinc finger protein 839 pseudogene	pseudo
170	chr10	44796217	44796324	+	0	NA	Intergenic	Intergenic	8072	NR_164139	100130539		NM_001258000	ENSG00000277288	LINC02881	C10orf142	long intergenic non-protein coding RNA 2881	ncRNA
136	chrX	103054101	103054120	+	0	NA	intron (NR_146560, intron 1 of 6)	intron (NR_146560, intron 1 of 6)	22329	NM_001305004	5354		NM_000533	ENSG00000123560	PLP1	GPM6C|HLD1|MMPL|PLP|PLP/DM20|PMD|SPG2	proteolipid protein 1	protein-coding
240	chr16	56616631	56616645	+	0	NA	Intergenic	Intergenic	-6802	NM_005954	4504		NM_005954	ENSG00000087250	MT3	GIF|GIFB|GRIF|ZnMT3	metallothionein 3	protein-coding
133	chrX	55726650	55726715	+	0	NA	Intergenic	MER41A|LTR|ERV1	-17500	NR_148683	10325		NM_006064	ENSG00000083750	RRAGB	RAGB|bA465E19.1	Ras related GTP binding B	protein-coding
53	chr2	237600127	237600186	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	121688	NM_020311	57007		NM_020311	ENSG00000144476	ACKR3	CMKOR1|CXC-R7|CXCR-7|CXCR7|GPR159|RDC-1|RDC1	atypical chemokine receptor 3	protein-coding
235	chr16	13664181	13664407	+	0	NA	Intergenic	L2b|LINE|L2	-349717	NM_005236	2072		NM_005236	ENSG00000175595	ERCC4	ERCC11|FANCQ|RAD1|XFEPS|XPF	ERCC excision repair 4, endonuclease catalytic subunit	protein-coding
100	chr6	44460990	44461155	+	0	NA	Intergenic	L2a|LINE|L2	57694	NR_039785	100616352		NR_039785	ENSG00000266619	MIR4642	-	microRNA 4642	ncRNA
48	chr2	145641041	145641181	+	0	NA	intron (NR_033870, intron 2 of 4)	intron (NR_033870, intron 2 of 4)	215577	NR_033870	401014		NR_033870	ENSG00000226674	TEX41	DKFZp686O1327|LINC00953	testis expressed 41	ncRNA
181	chr10	113076343	113076400	+	0	NA	Intergenic	Intergenic	202322	NR_159949	113633881		NR_159949		HEAT2	lnc-ADRA2A-1:1	HEart disease Associated Transcript 2	ncRNA
68	chr4	9634092	9634245	+	0	NA	Intergenic	MLT1E|LTR|ERVL-MaLR	-76231	NR_031688	100302277		NR_031688	ENSG00000221275	MIR548I2	MIR548I-2|MIRN548I2|hsa-mir-548i-2|mir-548i-2	microRNA 548i-2	ncRNA
284	chr22	43366954	43367073	+	0	NA	intron (NM_001349969, intron 1 of 11)	intron (NM_001349969, intron 1 of 11)	-10671	NM_001349970	11252		NM_007229	ENSG00000100266	PACSIN2	SDPII	protein kinase C and casein kinase substrate in neurons 2	protein-coding
195	chr11	34133435	34133577	+	0	NA	intron (NM_024662, intron 3 of 28)	intron (NM_024662, intron 3 of 28)	6330	NM_001144030	55226		NM_024662	ENSG00000135372	NAT10	ALP|Kre33|NET43	N-acetyltransferase 10	protein-coding
28	chr1	159075612	159075889	+	0	NA	Intergenic	MER52A|LTR|ERV1	-29059	NM_001348247	9447		NM_004833	ENSG00000163568	AIM2	PYHIN4	absent in melanoma 2	protein-coding
296	chr21	43867071	43867345	+	0	NA	exon (NM_001001895, exon 14 of 14)	exon (NM_001001895, exon 14 of 14)	43197	NM_001001895	53347		NM_018961	ENSG00000160185	UBASH3A	CLIP4|STS-2|TULA|TULA-1	ubiquitin associated and SH3 domain containing A	protein-coding
229	chr15	61192365	61192384	+	0	NA	intron (NM_134261, intron 1 of 10)	intron (NM_134261, intron 1 of 10)	218606	NR_120319	100996876		NR_120318	ENSG00000259482	RORA-AS2	-	RORA antisense RNA 2	ncRNA
293	chr21	39200332	39200483	+	0	NA	intron (NM_002240, intron 2 of 3)	intron (NM_002240, intron 2 of 3)	88353	NM_002240	3763		NM_002240	ENSG00000157542	KCNJ6	BIR1|GIRK-2|GIRK2|KATP-2|KATP2|KCNJ7|KIR3.2|KPLBS|hiGIRK2	potassium inwardly rectifying channel subfamily J member 6	protein-coding
182	chr10	116189773	116189910	+	0	NA	Intergenic	Intergenic	-25304	NM_001351075	84632		NM_032550	ENSG00000169129	AFAP1L2	CTB-1144G6.4|KIAA1914|XB130	actin filament associated protein 1 like 2	protein-coding
132	chrX	42607552	42607623	+	0	NA	Intergenic	MSTB|LTR|ERVL-MaLR	29827	NM_025210	80316		NM_025210	ENSG00000102055	PPP1R2C	I-4|PPP1R2P9	PPP1R2C family member C	protein-coding
258	chr18	54924221	54924279	+	0	NA	Intergenic	MER45C|DNA|hAT-Tip100	-85825	NR_149129	105372138		NR_149129	ENSG00000267726	LINC02565	-	long intergenic non-protein coding RNA 2565	ncRNA
23	chr1	92116887	92117016	+	0	NA	Intergenic	L2b|LINE|L2	150286	NM_001134420	8317		NM_003503	ENSG00000097046	CDC7	CDC7L1|HsCDC7|Hsk1|huCDC7	cell division cycle 7	protein-coding
219	chr12	96910024	96910045	+	0	NA	intron (NM_001367885, intron 5 of 68)	MIR|SINE|MIR	26679	NM_001306084	144535		NM_198520	ENSG00000188596	CFAP54	C12orf55|C12orf63	cilia and flagella associated protein 54	protein-coding
63	chr3	175540854	175541104	+	0	NA	Intergenic	Intergenic	-46858	NR_046714	100874245		NR_046714		NAALADL2-AS1	-	NAALADL2 antisense RNA 1	ncRNA
234	chr16	9706344	9706603	+	0	NA	Intergenic	Intergenic	-157111	NR_126349	104266959		NR_126349	ENSG00000261075	LINC01195	-	long intergenic non-protein coding RNA 1195	ncRNA
269	chr19	3030135	3030368	+	0	NA	promoter-TSS (NM_001300846)	promoter-TSS (NM_001300846)	-639	NM_001144762	7089		NM_003260	ENSG00000065717	TLE2	ESG|ESG2|GRG2	TLE family member 2, transcriptional corepressor	protein-coding
34	chr1	212623491	212623618	+	0	NA	Intergenic	Intergenic	17292	NM_013349	29937		NM_013349	ENSG00000117691	NENF	CIR2|SCIRP10|SPUF	neudesin neurotrophic factor	protein-coding
131	chrX	26892151	26892390	+	0	NA	Intergenic	LTR12C|LTR|ERV1	315816	NR_001559	139538		NR_001559	ENSG00000293226	VENTXP1	CT18|NA88A|VENTX2P1	VENT homeobox pseudogene 1	pseudo
291	chr21	17449629	17449648	+	0	NA	intron (NR_111005, intron 1 of 6)	intron (NR_111005, intron 1 of 6)	6204	NR_111004	388815		NR_027790	ENSG00000215386	MIR99AHG	C21orf34|C21orf35|DILA1|LINC00478|MONC	mir-99a-let-7c cluster host gene	ncRNA
75	chr4	86758573	86758797	+	0	NA	intron (NM_001287805, intron 1 of 7)	intron (NM_001287805, intron 1 of 7)	9595	NM_001287805	83478		NM_031305	ENSG00000138639	ARHGAP24	FILGAP|RC-GAP72|RCGAP72|p73|p73RhoGAP	Rho GTPase activating protein 24	protein-coding
194	chr11	31055384	31055406	+	0	NA	intron (NM_001367979, intron 20 of 38)	Tigger3b|DNA|TcMar-Tigger	-41162	NM_020869	341019		NM_020869	ENSG00000170959	DCDC1	DCDC5	doublecortin domain containing 1	protein-coding
80	chr4	174342687	174342709	+	0	NA	intron (NM_001329597, intron 2 of 3)	intron (NM_001329597, intron 2 of 3)	-22431	NM_007281	11341		NM_007281	ENSG00000164106	SCRG1	SCRG-1|lincSCRG1	stimulator of chondrogenesis 1	protein-coding
118	chr7	55242376	55242575	+	0	NA	exon (NM_001346898, exon 19 of 27)	exon (NM_001346898, exon 19 of 27)	14167	NR_047551	100507500		NR_047551	ENSG00000224057	EGFR-AS1	-	EGFR antisense RNA 1	ncRNA
285	chr22	43800868	43801021	+	0	NA	intron (NR_146918, intron 3 of 3)	intron (NR_146918, intron 3 of 3)	4607	NR_146918	105373054		NR_146918	ENSG00000236117	LINC01639	-	long intergenic non-protein coding RNA 1639	ncRNA
168	chr10	37992286	37992485	+	0	NA	Intergenic	Intergenic	91718	NR_051997	100419868		NR_051997		ZNF33BP1	-	zinc finger protein 33B pseudogene 1	pseudo
43	chr2	119085160	119085169	+	0	NA	Intergenic	Intergenic	-141202	NR_144530	100506797		NR_144530	ENSG00000226856	THORLNC	THOR	testis associated oncogenic lncRNA	ncRNA
19	chr1	53607739	53607941	+	0	NA	intron (NR_109858, intron 1 of 10)	MIRb|SINE|MIR	470	NM_001287595	6512		NM_006671	ENSG00000162383	SLC1A7	AAAT|EAAT5	solute carrier family 1 member 7	protein-coding
159	chr9	92256229	92256402	+	0	NA	intron (NR_024280, intron 1 of 5)	intron (NR_024280, intron 1 of 5)	1617	NR_024280	100129066		NR_024280	ENSG00000237372	LINC03062	-	long intergenic non-protein coding RNA 3062	ncRNA
58	chr3	52855046	52855288	+	0	NA	intron (NM_001166449, intron 11 of 21)	intron (NM_001166449, intron 11 of 21)	-2784	NR_046615	100873993		NR_046615	ENSG00000239799	ITIH4-AS1	-	ITIH4 antisense RNA 1	ncRNA
87	chr5	158288237	158288257	+	0	NA	intron (NM_182708, intron 5 of 14)	intron (NM_182708, intron 5 of 14)	236717	NM_001364156	1879		NM_024007	ENSG00000164330	EBF1	COE1|EBF|O/E-1|OLF1	EBF transcription factor 1	protein-coding
95	chr6	15729354	15729373	+	0	NA	Intergenic	MIR3|SINE|MIR	-66074	NM_001271667	84062		NM_032122	ENSG00000047579	DTNBP1	BLOC1S8|DBND|HPS7|My031|SDY	dystrobrevin binding protein 1	protein-coding
186	chr10	132307646	132307666	+	0	NA	Intergenic	Intergenic	372983	NM_001321980	10539		NM_006541	ENSG00000108010	GLRX3	GLRX4|GRX3|GRX4|PICOT|TXNL2|TXNL3	glutaredoxin 3	protein-coding
183	chr10	124795343	124795440	+	0	NA	intron (NM_001330174, intron 2 of 9)	MLT1E3|LTR|ERVL-MaLR	26869	NM_001609	36		NM_001609	ENSG00000196177	ACADSB	2-MEBCAD|ACAD7|SBCAD	acyl-CoA dehydrogenase short/branched chain	protein-coding
292	chr21	33586503	33586697	+	0	NA	Intergenic	Intergenic	64760	NM_018944	54069		NM_018944	ENSG00000159055	MIS18A	B28|C21orf45|C21orf46|FASP1|MIS18alpha|hMis18alpha	MIS18 kinetochore protein A	protein-coding
91	chr5	170824907	170825040	+	0	NA	intron (NM_002520, intron 6 of 10)	AluSx1|SINE|Alu	10120	NM_001037738	4869		NM_002520	ENSG00000181163	NPM1	B23|NPM	nucleophosmin 1	protein-coding
119	chr7	55248926	55249196	+	0	NA	exon (NM_001346898, exon 20 of 27)	exon (NM_001346898, exon 20 of 27)	7581	NR_047551	100507500		NR_047551	ENSG00000224057	EGFR-AS1	-	EGFR antisense RNA 1	ncRNA
13	chr1	30693960	30694020	+	0	NA	Intergenic	Intergenic	-183531	NR_110790	101929406		NR_110790	ENSG00000233399	LINC01648	-	long intergenic non-protein coding RNA 1648	ncRNA
49	chr2	163403818	163403863	+	0	NA	intron (NM_033272, intron 2 of 15)	intron (NM_033272, intron 2 of 15)	202962	NM_001330270	25801		NM_012198	ENSG00000115271	GCA	GCL	grancalcin	protein-coding
37	chr1	245201877	245201896	+	0	NA	intron (NM_001290327, intron 3 of 7)	L1M5|LINE|L1	-67715	NR_111907	101928068		NR_111907		LOC101928068	-	uncharacterized LOC101928068	ncRNA
231	chr15	78099073	78099353	+	0	NA	intron (NM_001301186, intron 1 of 5)	intron (NM_001301186, intron 1 of 5)	12581	NM_001301191	84894		NM_032808	ENSG00000169783	LINGO1	LERN1|LRRN6A|MRT64|UNQ201	leucine rich repeat and Ig domain containing 1	protein-coding
169	chr10	44796207	44796216	+	0	NA	Intergenic	Intergenic	8013	NR_164139	100130539		NM_001258000	ENSG00000277288	LINC02881	C10orf142	long intergenic non-protein coding RNA 2881	ncRNA
96	chr6	33863100	33863250	+	0	NA	intron (NR_038989, intron 1 of 2)	intron (NR_038989, intron 1 of 2)	1509	NR_038989	100507584		NR_038989	ENSG00000249346	LINC01016	-	long intergenic non-protein coding RNA 1016	ncRNA
134	chrX	55726716	55726725	+	0	NA	Intergenic	MER41A|LTR|ERV1	-17462	NR_148683	10325		NM_006064	ENSG00000083750	RRAGB	RAGB|bA465E19.1	Ras related GTP binding B	protein-coding
30	chr1	202097320	202097550	+	0	NA	exon (NM_004767, exon 2 of 2)	exon (NM_004767, exon 2 of 2)	5390	NM_004767	9283		NM_004767	ENSG00000170075	GPR37L1	ET(B)R-LP-2|ETBR-LP-2|ETBRLP2	G protein-coupled receptor 37 like 1	protein-coding
158	chr9	86886118	86886209	+	0	NA	Intergenic	Intergenic	69510	NM_001199633	64078		NM_022127	ENSG00000197506	SLC28A3	CNT3	solute carrier family 28 member 3	protein-coding
232	chr15	86125318	86125501	+	0	NA	intron (NM_006738, intron 7 of 36)	intron (NM_006738, intron 7 of 36)	-37772	NM_001270546	11214		NM_006738	ENSG00000170776	AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47	A-kinase anchoring protein 13	protein-coding
71	chr4	16246368	16246448	+	0	NA	intron (NR_027697, intron 2 of 2)	intron (NR_027697, intron 2 of 2)	18122	NR_027696	202020		NM_152684	ENSG00000263327	TAPT1-AS1	-	TAPT1 antisense RNA 1 (head to head)	ncRNA
76	chr4	95570000	95570057	+	0	NA	intron (NM_001256426, intron 13 of 16)	MLT1E1|LTR|ERVL-MaLR	108656	NR_121610	100507012		NR_121610	ENSG00000249599	BMPR1B-DT	BMPR1B-AS1	BMPR1B divergent transcript	ncRNA
283	chr22	40022199	40022415	+	0	NA	intron (NM_021096, intron 4 of 36)	MIRb|SINE|MIR	55549	NM_021096	8911		NM_021096	ENSG00000100346	CACNA1I	Cav3.3|NEDSIS|ca(v)3.3	calcium voltage-gated channel subunit alpha1 I	protein-coding
286	chr22	44936390	44936502	+	0	NA	Intergenic	L2b|LINE|L2	-28774	NR_028409	388910		NM_001012986	ENSG00000187012	LINC00207	NCRNA00207	long intergenic non-protein coding RNA 207	ncRNA
259	chr18	77608488	77608535	+	0	NA	Intergenic	CpG	-15157	NM_012283	26251		NM_012283	ENSG00000178342	KCNG2	KCNF2|KV6.2	potassium voltage-gated channel modifier subfamily G member 2	protein-coding
84	chr5	87211799	87211858	+	0	NA	Intergenic	L1M2|LINE|L1	253969	NR_149089	111082994		NR_149089	ENSG00000249362	LINC02488	CTD-2316B1	long intergenic non-protein coding RNA 2488	ncRNA
192	chr11	22244172	22244191	+	0	NA	intron (NM_001142649, intron 5 of 21)	L2|LINE|L2	29550	NM_213599	203859		NM_213599	ENSG00000171714	ANO5	GDD1|LGMD2L|LGMDR12|TMEM16E	anoctamin 5	protein-coding
218	chr12	87207138	87207157	+	0	NA	intron (NM_001351286, intron 1 of 7)	L1M5|LINE|L1	25630	NM_013244	25834		NM_013244	ENSG00000182050	MGAT4C	GNTIVH|HGNT-IV-H	MGAT4 family member C	protein-coding
294	chr21	39200488	39200633	+	0	NA	intron (NM_002240, intron 2 of 3)	intron (NM_002240, intron 2 of 3)	88200	NM_002240	3763		NM_002240	ENSG00000157542	KCNJ6	BIR1|GIRK-2|GIRK2|KATP-2|KATP2|KCNJ7|KIR3.2|KPLBS|hiGIRK2	potassium inwardly rectifying channel subfamily J member 6	protein-coding
69	chr4	9931149	9931175	+	0	NA	intron (NM_001001290, intron 7 of 12)	LTR16E1|LTR|ERVL	91959	NM_020041	56606		NM_020041	ENSG00000109667	SLC2A9	GLUT9|GLUTX|UAQTL2|URATv1	solute carrier family 2 member 9	protein-coding
191	chr11	17417127	17417206	+	0	NA	exon (NM_000352, exon 35 of 39)	exon (NM_000352, exon 35 of 39)	-6273	NM_001166290	3767		NM_000525	ENSG00000187486	KCNJ11	BIR|HHF2|IKATP|KIR6.2|MODY13|PHHI|PNDM2|TNDM3	potassium inwardly rectifying channel subfamily J member 11	protein-coding
29	chr1	172394661	172394721	+	0	NA	intron (NM_139240, intron 1 of 6)	intron (NM_139240, intron 1 of 6)	4866	NM_139240	92346		NM_139240	ENSG00000180999	C1orf105	-	chromosome 1 open reading frame 105	protein-coding
185	chr10	132307571	132307603	+	0	NA	Intergenic	Intergenic	372914	NM_001321980	10539		NM_006541	ENSG00000108010	GLRX3	GLRX4|GRX3|GRX4|PICOT|TXNL2|TXNL3	glutaredoxin 3	protein-coding
268	chr19	1010183	1010313	+	0	NA	TTS (NM_138690)	TTS (NM_138690)	9830	NM_138690	116444		NM_138690	ENSG00000116032	GRIN3B	GluN3B|NR3B	glutamate ionotropic receptor NMDA type subunit 3B	protein-coding
135	chrX	64091616	64091635	+	0	NA	Intergenic	L1MB7|LINE|L1	104705	NR_045044	55906		NM_018684	ENSG00000126970	ZC4H2	HCA127|KIAA1166|MCS|MRXS4|WRWF|WRWFFR|WWS	zinc finger C4H2-type containing	protein-coding
200	chr11	75966354	75966412	+	0	NA	Intergenic	Intergenic	-48837	NM_004626	7481		NM_004626	ENSG00000085741	WNT11	HWNT11	Wnt family member 11	protein-coding
270	chr19	7782993	7783102	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	14010	NM_001244856	339390		NM_198492	ENSG00000182566	CLEC4G	DTTR431|LP2698|LSECtin|UNQ431	C-type lectin domain family 4 member G	protein-coding
228	chr15	60423468	60423488	+	0	NA	Intergenic	L2c|LINE|L2	126968	NM_012182	27023		NM_012182	ENSG00000171956	FOXB1	FKH5|HFKH-5	forkhead box B1	protein-coding
233	chr15	100875261	100875327	+	0	NA	intron (NM_139057, intron 2 of 21)	MER5A|DNA|hAT-Charlie	6886	NM_139057	170691		NM_139057	ENSG00000140470	ADAMTS17	WMS4	ADAM metallopeptidase with thrombospondin type 1 motif 17	protein-coding
236	chr16	20158578	20158821	+	0	NA	Intergenic	Intergenic	-73487	NM_001002911	124274		NM_001002911	ENSG00000180269	GPR139	GPRg1|PGR3	G protein-coupled receptor 139	protein-coding
140	chr8	8414598	8414619	+	0	NA	Intergenic	Intergenic	-144839	NM_194284	137075		NM_194284	ENSG00000253958	CLDN23	CLDNL|hCG1646163	claudin 23	protein-coding
193	chr11	28726161	28726201	+	0	NA	Intergenic	L2a|LINE|L2	-227086	NR_107035	102466876		NR_107035	ENSG00000273912	MIR8068	hsa-mir-8068	microRNA 8068	ncRNA
129	chrX	11103644	11103671	+	0	NA	Intergenic	MER5A|DNA|hAT-Charlie	-25795	NM_001122608	3052		NM_005333	ENSG00000004961	HCCS	CCHL|LSDMCA1|MCOPS7|MLS	holocytochrome c synthase	protein-coding
92	chr5	180470651	180470674	+	0	NA	promoter-TSS (NR_107056)	promoter-TSS (NR_107056)	-178	NR_107056	102465882		NR_107056	ENSG00000277912	MIR8089	hsa-mir-8089	microRNA 8089	ncRNA
196	chr11	40244508	40244528	+	0	NA	intron (NM_020929, intron 3 of 4)	intron (NM_020929, intron 3 of 4)	70162	NR_047673	57689		NM_020929	ENSG00000148948	LRRC4C	NGL-1|NGL1	leucine rich repeat containing 4C	protein-coding
59	chr3	55935583	55935685	+	0	NA	intron (NM_015576, intron 12 of 16)	MLT1E3|LTR|ERVL-MaLR	-49012	NR_037502	100500875		NR_037502	ENSG00000264013	MIR3938	-	microRNA 3938	ncRNA
282	chr22	38523720	38523862	+	0	NA	intron (NM_001349865, intron 8 of 15)	intron (NM_001349865, intron 8 of 15)	-17100	NM_025045	80115		NM_025045	ENSG00000128298	BAIAP2L2	-	BAR/IMD domain containing adaptor protein 2 like 2	protein-coding
184	chr10	127834682	127834858	+	0	NA	intron (NM_001288973, intron 4 of 22)	intron (NM_001288973, intron 4 of 22)	-172928	NR_102707	101410540		NR_102707	ENSG00000233409	FANK1-AS1	-	FANK1 antisense RNA 1	ncRNA
281	chr22	38523556	38523698	+	0	NA	intron (NM_001349865, intron 8 of 15)	intron (NM_001349865, intron 8 of 15)	-16936	NM_025045	80115		NM_025045	ENSG00000128298	BAIAP2L2	-	BAR/IMD domain containing adaptor protein 2 like 2	protein-coding
72	chr4	25848025	25848144	+	0	NA	intron (NM_015187, intron 2 of 23)	MIRb|SINE|MIR	16526	NM_015187	23231		NM_015187	ENSG00000091490	SEL1L3	Sel-1L3	SEL1L family member 3	protein-coding
18	chr1	47656305	47656540	+	0	NA	promoter-TSS (NM_005764)	promoter-TSS (NM_005764)	-714	NM_005764	10158		NM_005764	ENSG00000162366	PDZK1IP1	DD96|MAP17|SPAP	PDZK1 interacting protein 1	protein-coding
295	chr21	39614532	39614660	+	0	NA	intron (NM_001276438, intron 1 of 2)	L2a|LINE|L2	12748	NM_001276437	3772		NM_002243	ENSG00000157551	KCNJ15	IRKK|KIR1.3|KIR4.2	potassium inwardly rectifying channel subfamily J member 15	protein-coding
44	chr2	119085171	119085242	+	0	NA	Intergenic	Intergenic	-141244	NR_144530	100506797		NR_144530	ENSG00000226856	THORLNC	THOR	testis associated oncogenic lncRNA	ncRNA
117	chr7	55241582	55241798	+	0	NA	exon (NM_001346898, exon 18 of 27)	exon (NM_001346898, exon 18 of 27)	14952	NR_047551	100507500		NR_047551	ENSG00000224057	EGFR-AS1	-	EGFR antisense RNA 1	ncRNA
280	chr22	30767836	30768121	+	0	NA	non-coding (NR_046312, exon 2 of 2)	non-coding (NR_046312, exon 2 of 2)	5916	NR_046312	85371		NR_046312		KIAA1656	-	KIAA1656 protein	ncRNA
167	chr10	23606091	23606231	+	0	NA	3' UTR (NM_153714, exon 5 of 5)	3' UTR (NM_153714, exon 5 of 5)	-26725	NR_155752	105376453		NR_155752	ENSG00000224215	C10orf67-AS1	-	C10orf67 antisense RNA 1	ncRNA
272	chr19	18304810	18304880	+	0	NA	intron (NM_032683, intron 2 of 4)	intron (NM_032683, intron 2 of 4)	817	NM_032683	84769		NM_032683	ENSG00000254858	MPV17L2	FKSG24	MPV17 mitochondrial inner membrane protein like 2	protein-coding
10	chr1	22888882	22888910	+	0	NA	Intergenic	Intergenic	-1086	NM_001006943	2046		NM_020526	ENSG00000070886	EPHA8	EEK|EK3|HEK3	EPH receptor A8	protein-coding
201	chr11	76338474	76338747	+	0	NA	Intergenic	Intergenic	42372	NM_001370189	2615		NM_005512	ENSG00000137507	LRRC32	CPPRDD|D11S833E|GARP	leucine rich repeat containing 32	protein-coding
142	chr8	61114450	61114470	+	0	NA	intron (NM_004056, intron 8 of 8)	intron (NM_004056, intron 8 of 8)	79499	NM_001321839	767		NM_004056	ENSG00000178538	CA8	CA-RP|CA-VIII|CALS|CAMRQ3|CARP	carbonic anhydrase 8	protein-coding
104	chr6	125610855	125610994	+	0	NA	intron (NM_016063, intron 4 of 5)	intron (NM_016063, intron 4 of 5)	12189	NM_016063	51020		NM_016063	ENSG00000111906	HDDC2	C6orf74|CGI-130|NS5ATP2|dJ167O5.2	HD domain containing 2	protein-coding
